"file","row_number","title_item","link","status","success"
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1992-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1993-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1994-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1995-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1996-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1997-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1998-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1999-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2000-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2001-v2.0.7.nc?download=1","404",FALSE
"csv/expvul.csv",6,"Global land cover maps netcdf","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2002-v2.0.7.nc?download=1","404",FALSE
